,Poste,Note,Nb match,Variation,But,%Titu,Temps,Tps moy,Cleansheet,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Ligue,Valeur_Joueur,Note_Max,Note_Min_Sans_Zero,Note_Mediane
583,DL,5.15,31,1.07,1,0.77,2218,71.55,9.5,4.0,6.0,16.0,0.7774,1800.0,47.0,49.0,51.64,36.0,0.0,0.0,Ligue 1,12.0,7.0,2.5,5.0
584,DC,5.13,31,0.89,1,1.0,2681,86.48,8.5,2.0,1.0,2.0,0.7954,1933.0,66.0,37.0,64.16,39.0,0.0,0.0,Ligue 1,15.0,6.5,3.0,5.0
585,DL,5.12,34,0.72,1,1.0,2993,88.03,9.0,3.0,6.0,19.0,0.8498,2345.0,56.0,53.0,59.41,40.0,0.0,0.0,Ligue 1,10.0,7.0,3.5,5.0
586,DC,5.09,37,1.18,1,1.0,3330,90.0,11.0,2.0,1.0,5.0,0.8225,2548.0,62.0,50.0,59.95,49.0,0.0,0.0,Ligue 1,21.0,8.0,2.0,5.0
587,MO,5.08,19,0.79,1,0.58,1089,57.32,2.5,2.0,2.0,8.0,0.8861,731.0,9.0,6.0,41.73,18.0,0.0,0.0,Ligue 1,12.0,6.5,3.5,1.75
588,MD,5.06,24,0.76,1,0.92,1802,75.08,7.0,2.0,7.0,17.0,0.7474,1412.0,25.0,18.0,53.38,12.0,0.0,0.0,Ligue 1,8.0,6.5,3.5,4.5
589,DL,5.06,27,0.94,1,0.96,2261,83.74,6.5,2.0,5.0,15.0,0.8596,1961.0,38.0,42.0,62.15,28.0,0.0,0.0,Ligue 1,12.0,7.5,3.5,4.25
590,MO,5.05,33,0.63,1,0.48,1690,51.21,4.5,1.0,2.0,14.0,0.7496,825.0,15.0,12.0,41.61,16.0,0.0,0.0,Ligue 1,9.0,7.0,3.5,5.0
591,DL,5.05,22,0.43,1,0.41,1020,46.36,4.0,0.0,1.0,13.0,0.7877,792.0,12.0,18.0,50.0,24.0,0.0,0.0,Ligue 1,10.0,6.0,4.0,4.5
592,DL,5.03,35,1.15,1,0.83,2579,73.69,10.0,3.0,1.0,11.0,0.7868,1576.0,33.0,24.0,52.72,26.0,0.0,0.0,Ligue 1,13.0,7.5,2.0,5.0
593,DC,5.02,24,0.93,1,0.75,1654,68.92,5.0,0.0,0.0,1.0,0.786,1046.0,26.0,15.0,62.1,22.0,0.0,0.0,Ligue 1,14.0,7.5,3.0,4.25
594,DL,5.0,32,1.09,1,0.97,2681,83.78,12.0,3.0,4.0,19.0,0.8036,2143.0,71.0,32.0,44.1,32.0,0.0,0.0,Ligue 1,15.0,7.0,2.5,5.0
595,MD,5.0,23,0.43,1,0.57,1170,50.87,4.5,0.0,0.0,1.0,0.7367,639.0,15.0,12.0,43.31,18.0,0.0,0.0,Ligue 1,11.0,6.0,4.5,4.5
