Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Ligue
Fazio Federico,DC,7,,4.89,0,4.84,14,0,16,1.39,0,1.35,1,0,1,0.86,0,0.88,1074,0,1254,76.71,0,78.38,1074,1254,7,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,5,4,0,0,4,7,6,0,0,0,0,5,4.5,5,6,6,5,3.5,,,,,,4,0.7024,708,28,12,60.4,11,,,0,Salernitana,,,,,,,SerieA
Aebischer Michel,MD,9,,4.89,5,4.88,32,3,34,0.67,0.5,0.65,1,0,1,0.56,0.67,0.59,1539,181,1694,48.09,60.33,49.82,1539,1694,7,9,5.5,4.5,5,0,4.5,4.5,4.5,4,4,0,4.5,4.5,5,0,5,5,4,5,5,0,4,5,5.5,7,0,5,5,6.5,4.5,6,4.5,4.5,5,0,5,5,5,4.5,2.5,,,,,,5,0.829,839,7,6,37.04,22,,,0,Bologna,,,,,,,SerieA
Pickel Charles,MD,9,9,4.88,4.5,4.88,33,3,33,0.7,0.87,0.7,1,0,1,0.91,1,0.91,2491,270,2491,75.48,90,75.48,2491,2491,6.5,9,5,5,3.5,0,0,5.5,5,0,5.5,5.5,3.5,4,4.5,4.5,4.5,5,4.5,4.5,0,4.5,5,4,5.5,4.5,5,6,6,4,6.5,0,5.5,5,5,5.5,4.5,4.5,5.5,4.5,5,,,,,2,6,0.7687,1309,24,23,43.36,34,,,0,Cremonese,,,,,,,SerieA
Djidji Koffi,DC,11,,4.87,0,4.89,34,0,35,0.79,0,0.79,1,0,1,0.76,0,0.74,2422,0,2452,71.24,0,70.06,2422,2452,6.5,11,0,5,5.5,5,5,5,3.5,6,5.5,5,4.5,5,5.5,4.5,3,5,4.5,5.5,0,6,3.5,5,5,4,0,4.5,6.5,0,4,5,3.5,5.5,4.5,5.5,4,5,5.5,5.5,7,,,,,,7,0.8351,1703,34,25,52.26,27,,,0,Torino,,,,,,,SerieA
Kallon Yayah,A,8,,4.86,0,4.86,22,0,22,0.54,0,0.54,1,0,1,0.36,0,0.36,853,0,853,38.77,0,38.77,853,853,6,8,0,0,0,0,0,0,5,0,0,5,0,4.5,5,5,0,4.5,0,0,0,4.5,4.5,6,5.5,5,4.5,5.5,5,4,5,4.5,4.5,4,4.5,5,6,0,0,0,1.5,,,,1,3,7,0.6977,396,8,10,42.98,13,,,0,Verona,,,,,,,SerieA
Léris Mehdi,MO,12,,4.84,4.5,4.84,32,3,32,0.78,0.87,0.78,1,0,1,0.91,1,0.91,2463,270,2463,76.97,90,76.97,2463,2463,6.5,12,4,5.5,4,0,0,0,5.5,6,5,6.5,4,5.5,5.5,5.5,5,4,0,5.5,4.5,4,4,4.5,5,3,0,4,4,4.5,5.5,6,0,4.5,5,5,5,5.5,4.5,5,3,,,,1,2,14,0.6962,1440,27,46,50.54,52,,,0,Sampdoria,,,,,,,SerieA
De Silvestri Lorenzo,DL,4,,4.83,5.25,4.79,15,4,17,0.67,0.87,0.83,1,1,1,0.4,0.25,0.47,667,127,833,44.47,31.75,49,667,833,6.5,4,5,6.5,4.5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.5,4.5,5,5,4,4.5,0,5.5,3.5,0.5,,,,,,2,0.7127,498,3,2,47.17,6,,,0,Bologna,,,,,,,SerieA
Esposito Salvatore,MD,9,,4.83,5.05,4.83,15,10,15,1.21,1.34,1.21,1,1,1,0.67,0.8,0.67,970,754,970,64.67,75.4,64.67,970,970,8,9,4.5,3,5.5,8,4.5,5,4.5,6,4,5.5,0,5,0,0,0,0,3.5,3.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,1,1,,2,6,0.7926,776,11,12,57.14,11,,,0,Spezia,,,,,,,SerieA
Dawidowicz Pawel,DC,9,,4.8,4,4.82,23,1,25,0.73,0,0.71,1,0,1,0.87,0,0.8,1634,5,1643,71.04,5,65.72,1634,1643,5,9,4,0,0,4.5,5.5,0,5,6,5.5,0,5,4,4.5,0,3.5,5,5.5,0,0,5,5,6,5,4,5,0,5,0,0,0,0,5,0,5,4.5,0,0,3,2.5,,,,1,1,7,0.7458,1052,23,31,56.76,37,,,0,Verona,,,,,,,SerieA
Vásquez Johan,DC,9,,4.8,5.39,4.83,25,9,26,1.2,1.45,1.18,1,1,1,0.76,0.89,0.77,1809,733,1899,72.36,81.44,73.04,1809,1899,7.5,9,7,5,3,4.5,7.5,5.5,5.5,4,6.5,0,4.5,5.5,3.5,3,6,0,4,3.5,4,5.5,0,0,0,0,5,0,5,0,5.5,0,0,4.5,0,0,4.5,4.5,0,3,3.5,,,,,,2,0.768,1118,45,26,53.54,21,,,0,Cremonese,,,,,,,SerieA
Zeegelaar Marvin,DL,3,,4.79,0,4.79,7,0,7,0.57,0,0.57,1,0,1,0.57,0,0.57,353,0,353,50.43,0,50.43,353,353,5,3,0,5,5,4,5.5,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,1,0.8486,240,3,4,54.35,13,,,0,Udinese,,,,,,,SerieA
Iling-Junior Samuel,MO,1,,4.79,5,4.79,12,2,12,0.86,0.71,0.86,1,0,1,0.08,0,0.08,308,62,308,25.67,31,25.67,308,308,7,1,5.5,4.5,0,4,7,0,5,0,0,0,0,0,0,0,0,4.5,0,4,4,0,4.5,0,4.5,0,0,0,5.5,4.5,0,0,0,0,0,0,0,0,0,0,1,,,,1,,4,0.8682,185,2,2,37.5,9,,,0,Juventus,,,,,,,SerieA
Reca Arkadiusz,DL,9,,4.78,4.83,4.79,30,9,31,0.89,1.06,0.87,1,0,1,0.8,0.56,0.81,2170,557,2201,72.33,61.89,71,2170,2201,6,9,4,3,5,7,5,4.5,5,5,5,0,0,0,0,5,4,4.5,5,3.5,5,3,6.5,5,5.5,0,6,5,5,4.5,0,0,0,4,4.5,4.5,4.5,5,4,6,5.5,,,,1,2,22,0.7106,1538,24,28,46.63,32,,,0,Spezia,,,,,,,SerieA
Nikolaou Dimitrios,DC,10,,4.75,4.79,4.71,36,19,38,0.78,0.71,0.79,1,1,1,0.94,0.95,0.95,2962,1543,3142,82.28,81.21,82.68,2962,3142,5.5,10,5.5,3,5.5,6,5,5,4.5,4.5,4.5,5,5,5,5,5.5,5,4.5,5,3.5,4,0,5.5,6,5,5,5,0,4,4.5,4.5,3,3,5.5,5,5,5,5,3.5,5.5,6.5,,,,,1,5,0.7928,1974,27,32,56.76,27,,,0,Spezia,,,,,,,SerieA
Solbakken Ola,MO,9,,4.75,0,4.75,14,0,14,0.8,0,0.8,1,0,1,0.5,0,0.5,503,0,503,35.93,0,35.93,503,503,6.5,9,0,6,5,4.5,0,5,4.5,3.5,0,4,5.5,4.5,0,0,4,6.5,4.5,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,,,,2,2,3,0.6408,249,2,2,31.67,6,,,0,Roma,,,,,,,SerieA
Success Isaac,A,11,,4.73,0,4.73,30,0,30,0.81,0,0.81,1,0,1,0.7,0,0.7,1820,0,1820,60.67,0,60.67,1820,1820,6,11,0,0,0,0,0,0,0,6,3.5,5,0,7,5,4,6,5,4,3.5,5,5,6,3.5,4.5,5,5,5.5,4.5,4.5,4,5,4.5,4.5,5,4.5,4.5,4,4.5,4,6,,,,6,5,10,0.6739,973,4,4,49.51,34,,,0,Udinese,,,,,,,SerieA
Jesé,A,10,,4.73,0,4.73,11,0,11,0.82,0,0.82,1,0,1,0.09,0,0.09,202,0,202,18.36,0,18.36,202,202,6.5,10,0,0,0,0,4.5,0,4.5,4,6.5,4,4.5,6,4.5,4,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,,1,1,,0.6381,97,1,,37.5,3,,,0,Sampdoria,,,,,,,SerieA
Ferrari Gian Marco,DC,9,,4.73,4.61,4.7,33,9,35,1.01,0.78,1.07,1,0,1,0.73,0.44,0.74,2220,416,2392,67.27,46.22,68.34,2220,2392,6,9,5,3,5,5,5,4,5.5,4,5,0,4.5,6.5,4,0,5,0,5.5,0,5,6,4.5,5,3.5,3,5,5,3,0,4,4,7,6,4,5,6,4.5,5.5,3,5,,,,,,1,0.7787,1522,23,16,63.92,24,,,0,Sassuolo,,,,,,,SerieA
Lochoshvili Luka,DC,9,,4.72,0,4.72,25,0,25,0.85,0,0.85,1,0,1,0.88,0,0.88,1848,0,1848,73.92,0,73.92,1848,1848,5.5,9,0,4,5,4.5,6.5,5,5,0,5.5,5.5,4.5,0,0,4.5,0,5,0,0,0,0,0,3.5,4,4,0,4,6,5.5,5,3,5,3,5,5,4.5,0,5.5,0,3,,,,2,1,3,0.7975,1051,22,19,56.65,27,,,0,Cremonese,,,,,,,SerieA
Djuric Milan,A,8,,4.71,4.7,4.72,28,10,30,0.66,0.54,0.72,1,0,1,0.5,0.6,0.53,1364,604,1544,48.71,60.4,51.47,1364,1544,6.5,8,4,5,4.5,4.5,6,4.5,5,4.5,4.5,4.5,0,4.5,4.5,0,0,0,0,0,5,6,4.5,6,6.5,4.5,4.5,0,4.5,4,5,4,4,4.5,0,0,0,4,4.5,4.5,3,,,,1,2,5,0.443,687,1,1,69.3,24,,,0,Verona,,,,,,,SerieA
Botheim Erik,A,8,,4.7,4.85,4.7,28,10,28,0.67,0.85,0.67,1,0,1,0.32,0.6,0.32,854,511,854,30.5,51.1,30.5,854,854,6,8,4.5,4.5,4,5,4.5,5.5,4.5,7,4.5,4.5,0,4.5,0,0,4.5,4.5,0,0,0,0,0,4,0,4,4.5,4.5,4.5,5,0,6,4,4.5,4.5,4.5,4.5,6,4.5,4.5,3,,,,3,3,2,0.6175,324,,7,41.9,12,,,0,Salernitana,,,,,,,SerieA
Günter Koray,DC,7,7,4.65,5.5,4.6,23,1,24,1.03,0,1.03,1,0,1,0.83,1,0.83,1777,45,1822,77.26,45,75.92,1777,1822,6,7,5.5,0,2,6,4.5,4.5,3,4.5,0,0,0,5.5,4,5.5,0,0,0,0,0,0,0,0,0,5.5,5,5,4,4.5,6,3.5,4.5,5,0,5.5,0,5.5,5,3,,,,,1,1,,0.7833,1102,41,14,58.04,24,,,0,Sampdoria,,,,,,,SerieA
Ibrahimovic Zlatan,A,5,,4.63,0,4.6,4,0,5,0.48,0,0.42,1,0,1,0.25,0,0.2,144,0,162,36,0,32.4,144,162,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,1,0.702,74,,,47.37,2,,,0,Milan,,,,,,,SerieA
Lasagna Kevin,A,9,,4.62,0,4.66,26,0,28,0.55,0,0.59,1,0,2,0.65,0,0.68,1575,0,1755,60.58,0,62.68,1575,878,5,9,0,0,0,0,0,0,0,5,5,4.5,4.5,5,0,4.5,4,4.5,4,4,5.5,5,4.5,0,0,6,5.5,5,4,4.5,0,0,4.5,4,4,5,4.5,4,4,5,1.5,,,,2,2,9,0.6136,543,5,6,30.88,24,,,0,Verona,,,,,,,SerieA
Quagliarella Fabio,A,3,,4.61,5,4.71,23,5,24,0.56,1.17,0.74,1,1,2,0.3,1,0.33,796,396,861,34.61,79.2,35.88,796,431,6,3,3.5,5.5,6,6,4,0,0,0,4.5,0,0,0,0,4.5,0,0,4.5,4.5,4.5,4.5,0,0,0,4.5,0,4.5,0,0,4.5,4.5,4,4.5,4.5,4.5,5,4.5,4.5,4.5,1,,,,1,,8,0.6442,366,,1,42.31,4,,,0,Sampdoria,,,,,,,SerieA
Wisniewski Przemyslaw,DC,8,,4.61,4.5,4.61,14,11,14,1.32,1.47,1.32,1,1,1,0.79,0.91,0.79,1000,905,1000,71.43,82.27,71.43,1000,1000,8,8,4.5,2,5.5,8,4,4.5,4,4,3.5,4.5,5,0,5.5,0,0,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,,,,1,1,0.815,654,11,5,56.88,13,,,0,Spezia,,,,,,,SerieA
Ghiglione Paolo,DL,9,,4.6,5,4.6,15,1,15,0.85,0,0.85,1,0,1,0.53,1,0.53,709,82,709,47.27,82,47.27,709,709,6,9,5,0,0,0,0,4.5,0,0,0,6,4.5,0,5,4.5,5,5,4.5,0,0,0,2.5,0,0,0,5,0,0,0,0,0,0,0,0,5,3,0,4.5,5,2,,,,1,,1,0.4881,377,4,11,38.46,16,,,0,Cremonese,,,,,,,SerieA
Bianchetti Matteo,DC,8,,4.6,5,4.6,25,2,25,0.89,1.41,0.89,1,0,1,0.88,0.5,0.88,2129,168,2129,85.16,84,85.16,2129,2129,5,8,6,4,0,0,0,0,0,3.5,0,4,4.5,5,4.5,4,5.5,5,0,0,4.5,0,4.5,3.5,4.5,0,6,0,5.5,4.5,5.5,2,5,5,0,0,3.5,5,5,5,3,,,,,1,1,0.7821,1193,20,19,59.12,18,,,0,Cremonese,,,,,,,SerieA
Agustín Álvarez Martínez,A,8,,4.59,0,4.59,22,0,22,0.61,0,0.61,1,0,1,0.05,0,0.05,351,0,351,15.95,0,15.95,351,351,6,8,0,0,0,0,4.5,4.5,0,4.5,0,5,0,0,0,4.5,0,4.5,0,4.5,4.5,4,4,4,4.5,4.5,0,4.5,4.5,0,4.5,4,6.5,6,4.5,5,4,0,0,0,,,,,1,1,3,0.826,176,3,3,36.76,8,,,0,Sassuolo,,,,,,,SerieA
Amione Bruno,DC,11,,4.57,5,4.57,27,4,27,0.96,0.71,0.96,1,0,1,0.96,0.75,0.96,2151,237,2151,79.67,59.25,79.67,2151,2151,6,11,6,4.5,5,4.5,0,4,2,6,5.5,3,4.5,5,3.5,5.5,5,4.5,5,5.5,4,4.5,5,0,6,3.5,4,5,4,5,0,0,0,0,0,0,0,0,0,3.5,3,,,,1,,4,0.8031,1326,25,34,57.74,27,,,0,Sampdoria,,,,,,,SerieA
Nicolussi Caviglia Hans,MO,7,,4.54,4.25,4.54,12,2,12,0.78,0.35,0.78,1,0,1,0.5,0,0.5,583,41,583,48.58,20.5,48.58,583,583,4.5,7,4.5,4,0,0,5,0,0,0,4.5,5,0,0,0,0,5,0,5,2.5,5,4,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,1,0.7574,330,7,6,46.48,13,,,0,Salernitana,,,,,,,SerieA
Holm Emil,DL,1,,4.47,0,4.47,20,0,20,0.92,0,0.92,1,0,1,0.85,0,0.85,1398,0,1398,69.9,0,69.9,1398,1398,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,5.5,3,3.5,5,5,4,4,4.5,6.5,3.5,3,5.5,5,3.5,5,0,5,5,1.5,,,,1,3,17,0.6196,861,9,15,46.79,22,,,0,Spezia,,,,,,,SerieA
Destro Mattia,A,4,,4.38,4.5,4.39,17,2,18,0.72,0,0.7,1,0,1,0.35,0,0.33,566,48,582,33.29,24,32.33,566,582,6,4,4.5,4.5,0,4.5,4,4.5,0,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,3,3,4.5,6,4.5,0,0,0,4.5,4.5,5,3.5,2.5,,,,,1,1,0.5401,153,1,1,31.58,12,,,0,Empoli,,,,,,,SerieA
Gytkjær Christian,A,7,,4.32,0,4.32,22,0,22,0.61,0,0.61,1,0,1,0.14,0,0.14,537,0,537,24.41,0,24.41,537,537,6,7,0,2.5,4.5,0,0,4.5,0,0,0,0,4,4.5,0,4.5,4,4,0,0,0,4.5,4,4.5,0,0,4.5,0,4,4,4.5,5,4,6,0,4.5,0,4,4.5,4.5,1,,,,,,2,0.6041,176,,2,38.46,11,,,0,Monza,,,,,,,SerieA
Shomurodov Eldor,A,9,,4.29,4,4.41,21,1,23,0.58,0,0.73,1,0,2,0.48,0,0.48,920,1,1026,43.81,1,44.61,920,513,6,9,4,0,3.5,0,4,5.5,4,0,4.5,4.5,6,4.5,4.5,4.5,4,4,4.5,3.5,0,0,0,0,0,0,4,0,4,4.5,0,4,0,4,0,4,0,0,0,0,1.5,,,,1,2,4,0.7115,409,4,5,32.39,10,,,0,Spezia,,,,,,,SerieA
Donati Giulio,DL,6,,4.06,0,4.06,9,0,9,1.81,0,1.81,1,0,1,0.44,0,0.44,503,0,503,55.89,0,55.89,503,503,6.5,6,0,0,0,0,0,0,0,5,0,0,3.5,0,0,0,3,0,6.5,0,0,0,0,0,0,0,4.5,0,4.5,0,4.5,0,5,0,0,0,0,0,0,0,0.5,,,,,,1,0.7245,362,4,1,50,7,,,0,Monza,,,,,,,SerieA
Sirigu Salvatore,G,7,,6.5,0,5.5,1,0,2,0,0,1.41,0,0,0,1,0,1,90,0,180,90,0,90,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,4,1,0,Fiorentina,,,,,,,SerieA
Bardi Francesco,G,7,,6.5,0,6.25,1,0,2,0,0,0.35,0,0,0,1,0,1,90,0,178,90,0,89,,,,1000,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,1,3,0,Bologna,,,,,,,SerieA
Perilli Simone,G,3,,6.5,0,6.5,1,0,1,0,0,0,0,0,0,1,0,1,90,0,90,90,0,90,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,2,2,0,Verona,,,,,,,SerieA
Cordaz Alex,G,3,,6,6,6,1,1,1,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,,,,1000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,0,Inter,,,,,,,SerieA
Turk Martin,G,7,,5.88,6.75,5.88,4,2,4,1.31,0.35,1.31,0,0,0,1,1,1,360,180,360,90,90,90,,,,1000,7,6.5,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,13,8,0,Sampdoria,,,,,,,SerieA
Perin Mattia,G,7,,5.86,0,5.77,11,0,13,1.12,0,1.09,0,0,0,0.91,0,0.92,947,0,1082,86.09,0,83.23,,,,1000,0,0,0,5.5,0,0,0,0,5.5,0,0,0,4.5,0,0,8,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,5.5,5,7,5,0,5.5,7.5,5,,,,,,,,,,,,,15,18,0,Juventus,,,,,,,SerieA
Cerofolini Michele,G,1,1,5.8,5.88,5.8,5,4,5,0.27,0.25,0.27,0,0,0,1,1,1,450,360,450,90,90,90,,,,1000,5.5,6,6,6,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,5,3,0,Fiorentina,,,,,,,SerieA
Sepe Luigi,G,7,8,5.71,0,5.72,17,0,18,1,0,0.97,0,0,0,1,0,1,1530,0,1620,90,0,90,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,4,6,6.5,6,6.5,6,5.5,4,4,7,5.5,6,7.5,6,5.5,3,,,,,,,,,,,,,45,15,0,Salernitana,,,,,,,SerieA
Provedel Ivan,G,20,24,5.7,5.7,5.66,38,38,40,0.9,0.9,0.92,0,0,0,0.97,0.97,0.98,3412,3412,3564,89.79,89.79,89.1,,,,1000,6,5.5,6,4.5,4,6,4.5,4,6,6,6.5,6.5,6,6.5,6,6,6,5.5,6,6.5,6,4,4,4.5,5.5,6.5,4,6,6.5,7,6,7,6,6,5,7,5.5,6,21,,,,,,,,,,,,,57,42,0,Lazio,,,,,,,SerieA
Cataldi Danilo,MD,16,,5.66,5,5.68,29,1,31,0.79,0,0.77,0,0,0,0.9,0,0.9,1942,19,2092,66.97,19,67.48,,,,1000,5,0,0,0,0,0,5,0,6.5,5,7,6,0,5,5.5,6,4.5,5.5,5,7,6.5,5.5,5.5,5,6,7,4.5,6,5,0,6.5,7,0,4.5,5.5,6,5,5.5,14,,,,1,1,6,0.8689,1529,24,16,46.85,12,,,0,Lazio,,,,,,,SerieA
Krunic Rade,MD,10,,5.65,6.67,5.68,23,3,25,0.95,0.58,0.92,0,0,0,0.78,1,0.8,1658,251,1809,72.09,83.67,72.36,,,,1000,6,7,7,0,7,5,6,5.5,0,0,7,5,5.5,0,6,6,6,5,3,0,0,0,0,5.5,4.5,4.5,0,0,5.5,5.5,6.5,5.5,0,0,0,0,0,5.5,9,,,,1,2,2,0.7914,1172,17,28,55.21,16,,,0,Milan,,,,,,,SerieA
Gollini Pierluigi,G,7,,5.64,0,5.64,7,0,7,0.8,0,0.8,0,0,0,1,0,1,630,0,630,90,0,90,,,,1000,0,5.5,0,4,6.5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5.5,4,,,,,,,,,,,,,13,5,0,Napoli,,,,,,,SerieA
Patric,DC,10,,5.64,6.5,5.61,18,1,19,0.7,0,0.7,0,0,0,0.89,1,0.89,1414,90,1504,78.56,90,79.16,,,,1000,6.5,0,0,0,0,5.5,0,5,6,0,0,0,0,5,6,6,5,0,0,0,5,0,0,0,0,0,0,0,0,6,5.5,7.5,5.5,4.5,5,5.5,6,6,11.5,,,,,,,0.8961,1199,11,11,50,3,,,0,Lazio,,,,,,,SerieA
Vicario Guglielmo,G,7,,5.63,5.64,5.79,31,7,33,0.97,0.48,1.14,0,0,0,1,1,1,2784,624,2964,89.81,89.14,89.82,,,,1000,6.5,5.5,6,5.5,5,5.5,5.5,0,0,0,0,0,0,0,6,5.5,4.5,5.5,5,6,8,4.5,5,7.5,4.5,6.5,6,4,7,6.5,4,6.5,6,5,5.5,6,6,4,7,,,,,,,,,,,,,61,35,0,Empoli,,,,,,,SerieA
Ochoa Guillermo,G,16,21,5.58,4,5.58,20,1,20,1.42,0,1.42,0,0,0,1,1,1,1800,90,1800,90,90,90,,,,1000,4,0,5.5,6.5,4,4,7.5,6,6,8,6,4,5.5,6.5,7,0,0,4,5.5,4.5,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,57,15,0,Salernitana,,,,,,,SerieA
Skorupski Lukasz,G,18,20,5.57,5.6,5.53,37,10,38,1.19,1.41,1.2,0,0,0,1,1,1,3330,900,3420,90,90,90,,,,1000,6,5,5,6,5,3.5,7.5,4,6,8,0,5,6,5.5,7,7.5,5.5,6.5,7,4.5,6,4,6,6.5,2.5,5,5.5,6.5,6.5,5,3.5,4,5.5,6,6,6,5.5,5.5,7,,,,,,,,,,,,,80,35,0,Bologna,,,,,,,SerieA
Onana André,G,15,16,5.56,0,5.56,24,0,24,0.8,0,0.8,0,0,0,1,0,1,2160,0,2160,90,0,90,,,,1000,0,4,5.5,0,6.5,0,6,0,4.5,5.5,5.5,5,0,5.5,6,0,6,6,5.5,7,6,5,6,6,5.5,4,6,4,6.5,6,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,39,22,0,Inter,,,,,,,SerieA
Locatelli Manuel,MD,14,15,5.52,5.17,5.49,32,3,34,0.92,1.15,0.91,0,0,0,0.91,1,0.91,2461,239,2613,76.91,79.67,76.85,,,,1000,6.5,4.5,4.5,0,7,5,5,4.5,0,4.5,7,6,5.5,5,0,6,6,5.5,4,5.5,5,5,5.5,7,6,6,0,7.5,6.5,4,6.5,0,0,5,5.5,4.5,5,5.5,18.5,,,,2,2,12,0.8345,1745,27,34,53.23,44,,,0,Juventus,,,,,,,SerieA
Meret Alex,G,19,19,5.51,6.5,5.53,34,1,35,0.95,0,0.94,0,0,0,1,1,1,3060,90,3140,90,90,89.71,,,,1000,6.5,0,4.5,0,0,5,4.5,6.5,6,5.5,3.5,6,0,4,6,6,5.5,6,6,6,5.5,6,4,5,5.5,6,7.5,6,3.5,4.5,5.5,6,6,5,6.5,7,6,4.5,16,,,,,,,,,,,,,38,29,0,Napoli,,,,,,,SerieA
Walace,MD,16,16,5.51,5.55,5.54,37,10,39,0.75,0.76,0.77,0,0,0,1,1,1,3199,844,3379,86.46,84.4,86.64,,,,1000,6,5.5,5.5,4,6,5.5,5.5,5.5,5,7,0,6,5.5,5.5,5,3.5,5,6,6,6,5,5.5,5,5,5.5,5.5,5.5,5.5,6,5.5,7,5,6,7.5,5,6,4.5,5,11,,,,1,2,7,0.8423,2248,52,39,49.36,40,,,0,Udinese,,,,,,,SerieA
Di Gregorio Michele,G,16,16,5.51,5.68,5.51,37,14,37,1.28,1.4,1.28,0,0,0,1,1,1,3330,1260,3330,90,90,90,,,,1000,3,4.5,6,8,6,6,7,6,8,5,4,5,5.5,5.5,0,6.5,6.5,6,8,4.5,6.5,4,6,6,4,6,5.5,3.5,6,6,6,6,5.5,5,4.5,4,2.5,6,10,,,,,,,,,,,,,87,32,0,Monza,,,,,,,SerieA
Falcone Wladimiro,G,15,15,5.5,5.5,5.5,38,38,38,1.01,1.01,1.01,0,0,0,1,1,1,3420,3420,3420,90,90,90,,,,1000,4.5,7.5,6,5.5,5.5,4.5,7,4,4.5,4,7,5.5,3.5,4.5,5,7,6,6.5,5,4,4,6,5.5,6.5,6,6,6,4.5,6,6.5,5,6,4.5,5.5,6,5.5,5.5,7,6,,,,,,,,,,,,,75,38,0,Lecce,,,,,,,SerieA
Schouten Jerdy,MD,17,21,5.48,0,5.47,33,0,35,0.97,0,0.95,0,0,0,0.88,0,0.89,2516,0,2651,76.24,0,75.74,,,,1000,0,5,7,5.5,5.5,5.5,6.5,4.5,4.5,6.5,6.5,5.5,5.5,5,7,6.5,6,6,7,5,7,5,5.5,0,2.5,5,0,0,0,5.5,4.5,5,5,5,5.5,4,6,5,8,,,,2,3,1,0.8563,1896,40,38,57.65,25,,,0,Bologna,,,,,,,SerieA
Audero Emil,G,5,,5.48,0,5.5,25,0,27,1.35,0,1.32,0,0,0,1,0,1,2250,0,2426,90,0,89.85,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,7,6,4.5,6,6,8,6,4,4.5,4,5,8,6,5.5,4,4.5,5,7,6,2.5,6.5,4,4,,,,,,,,,,,,,64,20,0,Sampdoria,,,,,,,SerieA
