Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Ligue
Núñez Unai,DC,11,11,5.03,5.18,5.03,36,17,36,0.95,0.79,0.95,0,0,0,0.97,0.94,0.97,3151,1441,3151,87.53,84.76,87.53,,,,1000,5.5,5,6,5,4,6,4,5,4,5.5,4.5,5,5.5,6,6,6.5,4.5,0,5.5,6,5,5,6,5,6,5,4,4.5,0,4.5,3.5,6,4,2,6,6,4,5,10,,,,,,3,0.831,2423,71,32,61.51,25,,,0,Celta,,,,,,,Liga
Alejo Iván,MO,12,,5.03,5,5.03,31,3,31,0.64,0.5,0.64,0,0,0,0.42,0.33,0.42,1304,135,1304,42.06,45,42.06,,,,1000,4.5,5,5.5,0,6,4,5.5,5.5,5.5,5,5,5.5,0,5,5.5,5,5,5,0,0,3,5.5,4.5,0,4.5,5,6,0,0,5.5,5.5,5.5,5,5,5,3.5,5,5,2.5,,,,1,2,17,0.6144,651,5,21,48.03,39,,,0,Cádiz,,,,,,,Liga
Özkacar Cenk,DC,11,,5.03,0,5.03,17,0,17,0.91,0,0.91,0,0,0,0.82,0,0.82,1363,0,1363,80.18,0,80.18,,,,1000,0,0,0,6,0,0,4,5.5,6.5,3,4.5,6,4,6,5,5,0,0,5,5,4,0,0,0,5.5,5.5,0,5,0,0,0,0,0,0,0,0,0,0,6,,,,,,,0.8055,939,12,20,65.03,7,,,0,Valencia,,,,,,,Liga
Fali,DC,10,,5.02,4.5,5.06,25,1,27,0.84,0,0.81,0,0,0,0.88,0,0.89,1720,31,1884,68.8,31,69.78,,,,1000,4.5,0,0,0,5,0,5,0,5,4.5,6,3,0,6,4.5,6,4,6,4.5,5,0,5,7,4.5,4,5.5,5.5,4.5,5.5,0,0,0,0,0,0,4.5,5,5.5,7,,,,,1,2,0.7535,792,13,20,57.81,16,,,0,Cádiz,,,,,,,Liga
Pablo Ibáñez Pablo,MD,8,,5.02,5.09,5.02,25,16,25,0.68,0.8,0.68,0,0,0,0.48,0.56,0.48,1060,816,1060,42.4,51,42.4,,,,1000,5,5,4.5,5,5,5.5,4.5,4.5,5.5,4,6,5,4.5,5,5,7.5,0,5.5,4,5,4.5,0,5,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,3.5,,,,1,2,4,0.7352,568,7,14,43.02,22,,,0,Osasuna,,,,,,,Liga
Herrera Ander,MD,5,5,5,5.5,5.03,17,1,19,0.56,0,0.54,0,0,0,0.53,1,0.53,698,64,781,41.06,64,41.11,,,,1000,5.5,0,0,5,4,4.5,5.5,4.5,5.5,5,5,0,0,0,0,0,0,0,0,4.5,5,0,0,0,6,0,0,4.5,6,0,4.5,5,5,0,0,0,0,0,3.5,,,,1,2,3,0.8537,566,8,11,45.05,21,,,0,Athletic,,,,,,,Liga
Manu Trigueros,MO,9,,5,5.5,5.02,23,1,25,0.56,0,0.55,0,0,0,0.35,1,0.36,817,66,893,35.52,66,35.72,,,,1000,5.5,0,6,5,6,5,5,0,0,0,5,5,6,5,0,0,3.5,5,4.5,0,5,4.5,5,4.5,5.5,4.5,5,5,5,4.5,0,0,0,0,0,0,0,0,3,,,,1,1,3,0.8925,625,4,14,42.7,13,,,0,Villarreal,,,,,,,Liga
Juan Cala,DC,1,,5,0,5,3,0,4,0.87,0,0.71,0,0,0,0.33,0,0.25,137,0,153,45.67,0,38.25,,,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.5,0,0,0,5.5,0,0,0,0,0,0,0,0,,,,,,,,0.5357,63,1,1,58.82,1,,,0,Cádiz,,,,,,,Liga
Vallejo Jesús,DC,1,,5,0,5,1,0,2,0,0,0,0,0,0,0,0,0.5,21,0,85,21,0,42.5,,,,1000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,14,,,,,,,0,Real Madrid,,,,,,,Liga
Mojica Johan,DL,8,,5,5,5,20,1,20,0.84,0,0.84,0,0,0,0.4,0,0.4,904,5,904,45.2,5,45.2,,,,1000,5,0,5,0,0,0,0,0,0,0,5,0,5,0,5,5,4,5.5,6.5,5,6,5.5,0,0,0,5,0,5.5,3,0,0,0,5,5.5,0,4,6,3.5,1,,,,,1,13,0.8009,713,8,11,60.22,7,,,0,Villarreal,,,,,,,Liga
